record_id,source_type,source_name,pmid,pmcid,title,hospital,city,state,icd10,meso_type,case_count,year_start,year_end,latitude,longitude,catchment_km,journal,affiliation,screen_score,screen_reasons,screen_status,provenance_url,notes
LIT-PMID-33599775,NCBI Literature,PubMed/PMC,33599775,PMC5008964,"Association of 13 Occupational Carcinogens in Patients With Cancer, Individually and Collectively, 1990-2017.",,,,Asbestos,All,0,2021,2021,,,90,JAMA network open,"Department of Oncology, The Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China",2,"mesothelioma-term,india-signal,primary-study-cue,non-primary-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5008964/,doi:10.1016/j.mrrev.2008.07.002
LIT-PMID-32435111,NCBI Literature,PubMed/PMC,32435111,PMC5533778,Combating Climate Change-induced Heat Stress: Assessing Cool Roofs and Its Impact on the Indoor Ambient Temperature of the Households in the Urban Slums of Ahmedabad.,Gujarat Institute,Ahmedabad,Gujarat,Asbestos,All,0,2020,2020,,,90,Indian journal of occupational and environmental medicine,"Gujarat Institute of Desert Ecology, Bhuj, Gujarat, India",8,"mesothelioma-term,india-signal,hospital-detected,india-location",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5533778/,doi:10.4103/ijoem.IJOEM_120_19
LIT-PMID-32134739,NCBI Literature,PubMed/PMC,32134739,,Sri Lanka: report on its children's environmental health.,,,,Asbestos,All,0,2020,2020,,,90,Reviews on environmental health,"Ministry of Healthcare, Nutrition and Indigenous Medicine, Renal Disease Prevention and Research Unit, Colombo, Sri Lanka",-1,"mesothelioma-term,india-signal,non-primary-cue",review,https://pubmed.ncbi.nlm.nih.gov/32134739/,doi:10.1515/reveh-2019-0091
LIT-PMID-32050148,NCBI Literature,PubMed/PMC,32050148,,Assessment of the future mesothelioma disease burden from past exposure to asbestos in ship recycling yards in India.,"Engineering Department, Indian Institute",Mumbai,Maharashtra,Asbestos,All,0,2020,2020,,,90,International journal of hygiene and environmental health,"Environmental Science and Engineering Department, Indian Institute of Technology Bombay, Mumbai, 400076, India",8,"mesothelioma-term,india-signal,hospital-detected,india-location",review,https://pubmed.ncbi.nlm.nih.gov/32050148/,doi:10.1016/j.ijheh.2020.113478
LIT-PMID-31957725,NCBI Literature,PubMed/PMC,31957725,PMC5865509,Tribal Odisha Eye Disease Study Report # 6. Opportunistic screening of vitamin A deficiency through School Sight Program in tribal Odisha (India).,"Rural Eye Care, L V Prasad Eye Institute",,Odisha,Asbestos,All,0,2020,2020,,,90,Indian journal of ophthalmology,"Indian Oil Centre for Rural Eye Care, L V Prasad Eye Institute, Bhubaneswar, India",8,"mesothelioma-term,india-signal,hospital-detected,india-location",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5865509/,doi:10.4103/ijo.IJO_1154_19
LIT-PMID-31863998,NCBI Literature,PubMed/PMC,31863998,,Identifying predictors of personal exposure to air temperature in peri-urban India.,,,,Asbestos,All,0,2020,2020,,,90,The Science of the total environment,"ISGlobal, Universitat Pompeu Fabra, CIBER Epidemiología y Salud Pública, Barcelona, Spain",8,"mesothelioma-term,india-signal,primary-study-cue",promote,https://pubmed.ncbi.nlm.nih.gov/31863998/,doi:10.1016/j.scitotenv.2019.136114
LIT-PMID-31673217,NCBI Literature,PubMed/PMC,31673217,PMC7659290,Current Asbestos Exposure and Future Need for Palliative Care in India.,"Health Systems Studies, Tata Institute",,Maharashtra,Asbestos,All,0,2019,2019,,,90,Indian journal of palliative care,"Centre for Public Health, School of Health Systems Studies, Tata Institute of Social Sciences, Vikas Anvesh Foundation, Pune, Maharashtra, India",4,"mesothelioma-term,india-signal,hospital-detected,india-location,non-meso-cohort-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC7659290/,doi:10.4103/IJPC.IJPC_51_19
LIT-PMID-30936339,NCBI Literature,PubMed/PMC,30936339,PMC1035151,A case from India of pleural malignant mesothelioma probably due to domestic and environmental asbestos exposure: a posthumous report.,"General Surgery, Chettinad Medical College",Chennai,Tamil Nadu,Asbestos,All,1,2019,2019,,,90,BMJ case reports,"General Surgery, Chettinad Medical College, Chennai, India",10,"mesothelioma-term,india-signal,hospital-detected,india-location,cohort-count",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC1035151/,doi:10.1136/oem.47.4.281
LIT-PMID-30916419,NCBI Literature,PubMed/PMC,30916419,PMC4548419,Asbestos in commercial indian talc.,,,,Asbestos,All,0,2019,2019,,,90,American journal of industrial medicine,"Scientific Analytical Institute, Greensboro, North Carolina",5,"mesothelioma-term,india-signal",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC4548419/,doi:10.1038/jd.1958.50
LIT-PMID-30741505,NCBI Literature,PubMed/PMC,30741505,PMC2386626,Interstitial Lung Diseases in Developing Countries.,,,,Asbestos,All,0,2019,2019,,,90,Annals of global health,"Interstitial Lung Disease Unit, Pulmonology Service, Bellvitge University Hospital. Instituto de Investigación Biomédica de Bellvitge (IDIBELL)",1,"mesothelioma-term,india-signal,non-meso-cohort-cue",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC2386626/,doi:10.1016/j.arbres.2016.12.011
